country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title,urban_rural_ratio,gdp_per_land_area
Afghanistan,Islamic State of Afghanistan,Afghan afghani,Kabul,Tropical,Asia,Afghan,0.5888989620226283,0.7262555796709875,1.4118183457360334,-0.6408365867536829,0.7167481701261801,0.7401931822204993,0.2821163528054798,-0.12932866391473954,0.9327222424155078,-0.669961046753882,-1.0724367059700344,1.584627925589447,-0.9165767743037982,0.892986322077042,1.6047085408168709,0.5082357049365849,-0.4466543981204166,,,,,,,,,17.86,8709.47,16222.0,4863.39,-1800.0,0.0,16.8261,81.3198,0.39,0.04,4.1,278000.0,4394000.0,1.35886,35.842,7.344,4.643,18.4,62.0,-183672,20362329,20766442,41128771,27.0161,30181937,10946834,2.14,2.97,Authoritarian,12.9,Ashraf Ghani,President,0.38113881562534974,-0.9347230654749192
Albania,Republic of Albania,Albanian lek,Tirana,Tropical,Europe,Albanian,0.9248272126266244,-0.022006262199479,-0.695994346083681,-0.6824036345836022,-0.7333825748920961,-0.7378803447593882,-0.6591001795831817,0.569735347628645,-0.274519807351199,-0.6501538698483896,-0.3597552708612437,0.4303244150701625,0.2895858967963956,0.9125039814453472,0.4267299553344325,0.6272922884062033,2.1259542326820853,0.0,100.0,0.0,0.0,0.0,0.0,13.798,61.4218,44.58,4383.2,2692.2,1015.19,11.6814,6.36726,6.65959,350.835,2.89,0.03,4.3,8000.0,,1.41564,10.24,11.325,1.39,79.32,76.0,-10612,1391085,1384548,2775634,35.7143,1004807,1770827,2.62,5.98,Hybrid regime,33.7,Edi Rama,Prime Minister,0.8932344983360472,0.886513931618907
Algeria,People's Democratic Republic of Algeria,Algerian dinar,Algiers,Tropical,Africa,Algerian,0.3789438053951307,-0.3046829580172109,1.582005583346663,-0.5674636236490328,2.15959437714864,2.097036536594738,1.8764802828007527,-0.12932866391473954,-0.0441960328296896,0.1470672621396459,0.0495842025608781,-0.4004772026376806,-0.1425322358618739,0.8611207557614411,-0.4394236548759143,0.6163080244878326,-0.8614640585037505,0.0,0.210762,98.3575,0.0,1.31981,0.111922,-177.124,99.9779,0.15,161563.0,86543.9,12578.7,-7720.56,1.12475,6.32118,214.852,1.9,0.04,2.5,317000.0,2500.0,5.59258,21.524,4.546,2.889,70.77,76.0,-18797,22040987,22862237,44903225,8.10811,11328186,33575039,1.71,3.5,Authoritarian,24.0,Abdelmadjid Tebboune,President,0.8948247920600685,0.06809948372519012
Andorra,Principality of Andorra,Euro,Andorra la Vella,Tropical,Europe,Andorran,0.9878137596148736,-0.329625019412893,-0.7609922912378699,-0.7589807697024097,-0.7958828084969842,-0.8032386593137628,-0.8959565943398706,-0.12932866391473954,-0.0441960328296896,-0.7217069854205413,-0.17617433539731706,-0.27844274682430503,-0.1425322358618739,-0.3193988963368328,-0.25961461039409917,0.6272922884062033,-0.4466543981204166,,,,,,,,,20.59,448.884,53.601,1.75881,,0.0,9.05176,3336.92,2.5,,,,,,7.0,3.9,1.27,93.8975,,1377,39038,40786,79824,46.4286,9730,70094,3.17,0.0,Unknown,38.9,Xavier Espot Zamora,Head of Government,1.115430120240129,0.9068005712844545
Angola,People's Republic of Angola,Angolan kwanza,Luanda,Tropical,Africa,Angolan,-1.3216929632876,-0.0469483235951612,2.2293382572155744,2.253239023560613,2.096418198759592,2.097036536594738,-0.015899014001455,-0.12932866391473954,-0.9200216192345908,-0.2454779030548288,2.1085378492043136,0.9027940449702956,-0.8886829501298155,0.5940474780788116,0.833350502913424,-2.0302900618959216,-0.5545652676764605,0.0,53.1749,0.0,0.0,46.8251,0.0,-540.997,48.3056,61.02,19814.5,32703.2,17757.9,5203.07,1.22031,2.91183,50.7426,0.8,0.52,6.1,117000.0,,1.13206,38.809,8.009,5.304,32.6023,62.0,29089,17998220,17590767,35588987,33.6364,11359649,24229338,2.24,3.62,Authoritarian,12.4,João Lourenço,President,-0.007581658079869476,-0.11709395730301955
Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Saint John's,Tropical,Americas,Antiguan,-0.080857987619089,-1.3821800103106827,-0.7615431837214104,-0.7597615017825445,-0.7959524337108033,-0.8032706124689886,-0.8956808716366882,-0.12932866391473954,-0.0441960328296896,-0.7290531489640223,-0.2298982076403032,-0.27844274682430503,-0.1425322358618739,-0.3193988963368328,-0.25961461039409917,0.6272922884062033,-0.4466543981204166,,,,,,,,0.0,0.72,474.6,204.866,11.7635,471.237,3.97656,5.61473,830.34,2.89,,0.4,0.0,,,12.115,6.365,1.58,95.6634,78.0,0,48981,44782,93763,11.1111,70935,22828,0.0,0.0,Unknown,31.1,Gaston Browne,Prime Minister,1.1150424996672803,0.9159506499215155
Argentina,Argentine Republic,Argentine peso,Buenos Aires,Tropical,Americas,Argentine,-2.22450013678584,-1.4187617003576831,2.2293382572155744,2.070380399385165,2.15959437714864,2.097036536594738,1.9473889902962596,-0.12932866391473954,-0.4118779362105704,2.083225254999904,-0.17617433539731706,-0.4714618290356477,-0.6861094106740622,-0.1464286191799622,-0.4613706512598747,0.6272922884062033,-0.1947941351455519,2.02957,26.2416,49.4823,4.16673,15.4232,1.89849,13.0294,87.7224,9.84,154536.0,131036.0,51061.5,3701.73,0.896205,9.98438,863.714,4.99,0.11,8.4,103000.0,,0.565318,13.902,8.955,1.885,87.1507,75.0,2344,23345532,22889298,46234830,44.7471,3538352,42696478,2.76,7.02,Flawed democracy,27.6,Alberto Fernández,President,0.9286385603269064,0.9646372842248423
Armenia,Republic of Armenia,Armenian dram,Yerevan,Tropical,Asia,Armenian,0.882836181301125,0.3936947610618913,-0.6670639892705914,-0.72802196855016,-0.7308992755992172,-0.7378546113263693,-0.6309657619531055,-0.0066833753323731,-0.2363962876576033,-0.6472940618220488,-0.0510635616948816,-0.3988834518656874,0.8461835803139182,1.0616746637602537,-0.3313096963771354,0.6272922884062033,2.26855113053044,0.0,28.2857,35.9149,31.8065,0.0,0.0512886,71.3413,74.5619,8.38,6746.6,2319.92,1173.58,722.155,0.0,12.241,551.543,4.2,,3.3,49000.0,8400.0,4.44012,12.049,13.007,1.575,78.6123,72.0,-12825,1530390,1250079,2780469,35.514,1012841,1767628,2.7,4.79,Hybrid regime,30.8,Nikol Pashinyan,Prime Minister,0.8551356219335403,0.8856132211806808
Australia,Commonwealth of Australia,Australian dollar,Canberra,Tropical,Oceania,Australian,-1.930562917507343,1.8554034841046847,2.2293382572155744,2.253239023560613,2.15959437714864,2.097036536594738,1.9473889902962596,0.2531684691394946,0.3982201371060294,2.083225254999904,-0.380880327927141,-0.9141777552873422,1.0058446619495254,-0.7100508233871515,-0.9923226121421768,0.6272922884062033,-0.6026275990071309,62.8716,5.29618,20.7955,0.0,2.69506,8.34166,-190.191,89.6256,10.89,378997.0,131485.0,49331.8,-17268.7,2.70968,10.649,5901.11,3.84,0.02,12.5,59000.0,,1.97842,12.1,6.7,1.7,96.24,83.0,117929,13079142,12899794,25978935,38.4106,3510274,22468661,4.73,9.09,Full democracy,33.3,Anthony Albanese,Prime Minister,0.9286385603269064,0.9646372842248423
Austria,Republic of Austria,Euro,Vienna,Tropical,Europe,Austrian,1.1907704108814847,-0.1328598684579379,-0.6120450193815229,-0.3742472954669362,-0.6054578487019207,-0.6099431837510021,-0.021142947677077,0.879305556626317,1.8166584288156065,1.434773345364897,-0.0662168825680851,-1.0929323991655555,1.3917370823403092,-0.5017296835989112,-1.1105215747039523,0.6272922884062033,0.622966114550634,8.22661,59.9971,12.6014,0.0,1.39404,16.4937,63.5449,65.6618,35.77,59142.4,6863.08,3759.74,-8604.11,0.0,12.1736,6491.12,7.27,,14.6,22000.0,,0.802122,9.6,10.3,1.48,92.5292,81.0,20314,4590655,4451873,9042528,40.9836,3684288,5358240,5.1,8.29,Full democracy,39.0,Sebastian Kurz,Federal Chancellor,0.0346637985968677,-2.3697328367961505
