country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Afghanistan,Islamic State of Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,Afghan,0.5888989620226283,0.7262555796709875,1.421276025325617,-0.6408365867536829,0.7167481701261801,0.7401931822204993,0.2821163528054798,0.022609222639885514,1.1174932554265364,-0.6689735124601853,-1.1186724953820706,1.6667480591274155,-1.0116168897302473,1.002043756152421,1.6869263478845993,0.5082357049365849,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,17.86,8709.47,16222.0,4863.39,-1800.0,0.0,16.8261,81.3198,0.39,0.04,4.1,278000.0,4394000.0,1.35886,35.842,7.344,4.643,18.4,62.0,-183672,20362329,20766442,41128771,27.0161,30181937,10946834,2.14,2.97,Authoritarian,12.9,Ashraf Ghani,President
Albania,Republic of Albania,Albanian lek,Tirana,Southern Europe,Europe,Albanian,0.9248272126266245,-0.02200626219947906,-0.6950037637945963,-0.6824036345836022,-0.7333825748920961,-0.7378803447593882,-0.6591001795831817,1.5883152545252923,-0.2938865768978773,-0.6490648759555325,-0.3573845074769711,0.4684350612928154,0.3766343772195803,1.0230323874267975,0.4636772312326895,0.6272922884062033,1.8959949330470964,0.0,100.0,0.0,0.0,0.0,0.0,13.798,61.4218,44.58,4383.2,2692.2,1015.19,11.6814,6.36726,6.65959,350.835,2.89,0.03,4.3,8000.0,73000.0,1.41564,10.24,11.325,1.39,79.32,76.0,-10612,1391085,1384548,2775634,35.7143,1004807,1770827,2.62,5.98,Hybrid regime,33.7,Edi Rama,Prime Minister
Algeria,People's Democratic Republic of Algeria,Algerian dinar,Algiers,Northern Africa,Africa,Algerian,0.3789438053951307,-0.3046829580172109,1.592146906177292,-0.5674636236490328,2.1595943771486397,2.097036536594738,1.8764802828007527,0.022609222639885514,-0.02461635861206387,0.15223991403584375,0.07987288234698378,-0.3940420671648895,-0.12071855825773121,0.9677766030513979,-0.43576326083766925,0.6163080244878326,-1.1262510536939203,0.0,0.210762,98.3575,0.0,1.31981,0.111922,-177.124,99.9779,0.15,161563.0,86543.9,12578.7,-7720.56,1.12475,6.32118,214.852,1.9,0.04,2.5,317000.0,2500.0,5.59258,21.524,4.546,2.889,70.77,76.0,-18797,22040987,22862237,44903225,8.10811,11328186,33575039,1.71,3.5,Authoritarian,24.0,Abdelmadjid Tebboune,President
Andorra,Principality of Andorra,Euro,Andorra la Vella,Southern Europe,Europe,Andorran,0.9878137596148737,-0.32962501941289307,-0.7602628061174703,-0.7589807697024097,-0.7958828084969842,-0.8032386593137628,-0.8959565943398706,0.022609222639885514,-0.02461635861206387,-0.720984512736601,-0.16128291973779477,-0.2589999547409623,-0.12071855825773121,-0.3035347769965593,-0.2452031355773894,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,20.59,448.884,53.601,1.75881,150.149,0.0,9.05176,3336.92,2.5,0.12,7.5,30500.0,73000.0,1.59489,7.0,3.9,1.27,93.8975,72.0,1377,39038,40786,79824,46.4286,9730,70094,3.17,0.0,Unknown,38.9,Xavier Espot Zamora,Head of Government
Angola,People's Republic of Angola,Angolan kwanza,Luanda,Middle Africa,Africa,Angolan,-1.3216929632876,-0.04694832359516128,2.2309138905091728,2.2532390235606132,2.096418198759592,2.097036536594738,-0.01589901400145501,0.022609222639885514,-1.0485390835738515,-0.24231601096064687,2.072286211203936,0.9589182777362376,-0.9795120686497825,0.6805750261234478,0.8859244874803988,-2.0302900618959216,-0.5361959082016255,0.0,53.1749,0.0,0.0,46.8251,0.0,-540.997,48.3056,61.02,19814.5,32703.2,17757.9,5203.07,1.22031,2.91183,50.7426,0.8,0.52,6.1,117000.0,73000.0,1.13206,38.809,8.009,5.304,32.6023,62.0,29089,17998220,17590767,35588987,33.6364,11359649,24229338,2.24,3.62,Authoritarian,12.4,João Lourenço,President
Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Saint John's,Caribbean,Americas,Antiguan,-0.08085798761908908,-1.3821800103106827,-0.7608159115397024,-0.7597615017825445,-0.7959524337108033,-0.8032706124689886,-0.8956808716366882,0.022609222639885514,-0.02461635861206387,-0.728368306014599,-0.21867088662946813,-0.2589999547409623,-0.12071855825773121,-0.3035347769965593,-0.2452031355773894,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,0.0,0.72,474.6,204.866,11.7635,471.237,3.97656,5.61473,830.34,2.89,0.12,0.4,0.0,73000.0,1.59489,12.115,6.365,1.58,95.6634,78.0,0,48981,44782,93763,11.1111,70935,22828,0.0,0.0,Unknown,31.1,Gaston Browne,Prime Minister
Argentina,Argentine Republic,Argentine peso,Buenos Aires,South America,Americas,Argentine,-2.22450013678584,-1.4187617003576833,2.2309138905091728,2.0703803993851655,2.1595943771486397,2.097036536594738,1.9473889902962593,0.022609222639885514,-0.4544711861859633,2.0843608725698335,-0.16128291973779477,-0.467733084894577,-0.7463569731240317,-0.11570794406157647,-0.45855369546076324,0.6272922884062033,0.15551358787429148,2.02957,26.2416,49.4823,4.16673,15.4232,1.89849,13.0294,87.7224,9.84,154536.0,131036.0,51061.5,3701.73,0.896205,9.98438,863.714,4.99,0.11,8.4,103000.0,73000.0,0.565318,13.902,8.955,1.885,87.1507,75.0,2344,23345532,22889298,46234830,44.7471,3538352,42696478,2.76,7.02,Flawed democracy,27.6,Alberto Fernández,President
Armenia,Republic of Armenia,Armenian dram,Yerevan,Western Asia,Asia,Armenian,0.882836181301125,0.3936947610618913,-0.6659571935499121,-0.72802196855016,-0.7308992755992172,-0.7378546113263693,-0.6309657619531055,0.31024508585412575,-0.24931658627904363,-0.6461904189472892,-0.02763929653518094,-0.3923875523444943,1.0172589445673068,1.1834454978809619,-0.3234944081936208,0.6272922884062033,1.8959949330470964,0.0,28.2857,35.9149,31.8065,0.0,0.0512886,71.3413,74.5619,8.38,6746.6,2319.92,1173.58,722.155,0.0,12.241,551.543,4.2,0.12,3.3,49000.0,8400.0,4.44012,12.049,13.007,1.575,78.6123,72.0,-12825,1530390,1250079,2780469,35.514,1012841,1767628,2.7,4.79,Hybrid regime,30.8,Nikol Pashinyan,Prime Minister
Australia,Commonwealth of Australia,Australian dollar,Canberra,Australia and New Zealand,Oceania,Australian,-1.930562917507343,1.8554034841046847,2.2309138905091728,2.2532390235606132,2.1595943771486397,2.097036536594738,1.9473889902962593,0.9196668619077764,0.4926098760623743,2.0843608725698335,-0.37995034320078563,-0.9273281947952036,1.2010232942474666,-0.7218082145359225,-1.0099105071534646,0.6272922884062033,-0.6286023521291844,62.8716,5.29618,20.7955,0.0,2.69506,8.34166,-190.191,89.6256,10.89,378997.0,131485.0,49331.8,-17268.7,2.70968,10.649,5901.11,3.84,0.02,12.5,59000.0,73000.0,1.97842,12.1,6.7,1.7,96.24,83.0,117929,13079142,12899794,25978935,38.4106,3510274,22468661,4.73,9.09,Full democracy,33.3,Anthony Albanese,Prime Minister
Austria,Republic of Austria,Euro,Vienna,Western Europe,Europe,Austrian,1.1907704108814847,-0.13285986845793793,-0.6107172121007406,-0.3742472954669362,-0.6054578487019207,-0.6099431837510021,-0.021142947677077,1.5883152545252923,2.1508980368354833,1.4465420984452169,-0.043826109589853016,-1.1128981174632848,1.6451720432923955,-0.497786701137984,-1.13265193753664,0.6272922884062033,1.7277701673531036,8.22661,59.9971,12.6014,0.0,1.39404,16.4937,63.5449,65.6618,35.77,59142.4,6863.08,3759.74,-8604.11,0.0,12.1736,6491.12,7.27,0.12,14.6,22000.0,73000.0,0.802122,9.6,10.3,1.48,92.5292,81.0,20314,4590655,4451873,9042528,40.9836,3684288,5358240,5.1,8.29,Full democracy,39.0,Sebastian Kurz,Federal Chancellor
Azerbaijan,Republic of Azerbaijan,New Azeri manat,Baku,Western Asia,Asia,Azerbaijani,0.9038316969638747,0.4352648633880283,-0.48932195269081913,-0.6484328721069745,-0.6051654228038806,-0.6046319002832112,-0.1352520146491584,-1.7005565149059374,-0.043200804775858234,-0.3719509192674845,0.8693810744238557,0.9754672558356079,-0.42239850502946463,-0.33608857244253126,0.6287026221258214,0.6272922884062033,-0.9992926350804048,0.0,6.63075,86.0823,0.0,6.50924,0.409106,-310.385,98.366,1.23,34305.0,15733.1,4793.55,-514.235,0.0,4.60677,191.227,4.82,0.03,4.1,82000.0,659000.0,5.27006,11.1,7.6,1.52,86.0,69.0,1084,5154492,5020523,10175016,18.3333,4357959,5817057,1.32,2.65,Authoritarian,27.9,Ilham Aliyev,President
Bahrain,Kingdom of Bahrain,Bahraini dinar,Manama,Western Asia,Asia,Bahraini,0.2949617427441316,0.48598038822591544,-0.7608386730797119,-0.7604966581321131,-0.7951517437518844,-0.8034177979951268,-0.8069654345787457,-1.5604113101407406,-0.7129809765015839,-0.5309342790710858,-0.8908849284726547,-1.463167330710878,-1.961901195533734,-1.2062600915016366,-1.373883383125726,0.6272922884062033,-1.1333038826985675,0.0,0.0,99.9684,0.0,0.0315967,0.0,-61.5843,99.3658,0.0,32470.2,17641.4,171.638,8391.62,31.9817,4.723,1110.0,1.74,0.05,8.9,19000.0,73000.0,3.55826,11.926,2.479,1.811,100.0,79.0,-9150,560034,912199,1472233,20.0,151007,1321226,1.28,2.71,Authoritarian,29.2,Sheikh Hamad bin Isa Al Khalifa,King
Bangladesh,People's Republic of Bangladesh,Bangladeshi taka,Dhaka,Southern Asia,Asia,Bangladeshi,0.2109796800931326,1.1419566029323578,-0.1979230271035864,-0.5739631191384801,-0.49486980075268505,-0.6116474167679091,1.9473889902962593,-1.4505776955047764,-1.8521589866715742,1.39467961409639,-0.19012019882238107,0.6977079205709201,-1.3889618534782322,-0.49950005879303516,0.5990701833594233,0.5750626828754011,-1.0973439659971345,1.68952,0.959143,80.7036,0.0,16.38,0.267747,16.8417,73.7689,27.96,85493.1,88904.0,28076.8,1513.77,6.06484,2.62801,50.6641,0.79,0.01,3.7,227000.0,427000.0,1.26978,17.821,5.68,1.981,38.9174,72.0,-174500,86327159,84859213,171186372,20.8571,103206552,67979820,1.54,5.57,Hybrid regime,22.7,Sheikh Hasina,Prime Minister
Barbados,Barbados,Barbados dollar,Bridgetown,Caribbean,Americas,Barbadian,-0.24392315954638577,-1.344489784146225,-0.7607590076896785,-0.7599418231513067,-0.7959756421154096,-0.8036294433432948,-0.8493877878239818,1.5883152545252923,0.5970038092327763,-0.7103986197351458,-0.8092021112130348,-0.8270768523445877,1.928754872893479,0.25095059411937065,-0.7118353162374704,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,0.0,4.68,1096.07,2359.57,38.4787,-101.447,1.84675,7.20014,1199.71,5.97,0.24,0.6,1000.0,73000.0,1.59489,10.832,9.007,1.633,85.82,78.0,-28,146550,135084,281635,26.6667,193416,88219,0.0,0.0,Unknown,35.2,Mia Mottley,Prime Minister
Belarus,Republic of Belarus,Belarusian rubel,Minsk,Eastern Europe,Europe,Belarusian,1.4287195885326187,0.11101806524415944,-0.2901072641422548,0.10810741208793317,-0.3258894068138846,-0.3151616103874208,-0.04822768674657382,-1.3265245232510658,0.22436331617658387,-0.39940159006185066,1.1030261195154332,-1.4186532222514103,-0.6562895276859998,-0.6127958337332927,-1.3027715285557564,0.6272922884062033,-1.1206719721809801,0.0,0.313949,97.8669,0.0,1.06214,0.501731,86.7797,92.4404,8.39,54801.5,17079.3,15902.5,-7365.67,0.0,6.40607,408.095,10.83,0.12,21.2,155000.0,73000.0,1.15581,9.283,16.544,1.483,86.89,72.0,12961,4968656,4240046,9208701,40.0,1811720,7396981,1.51,3.13,Authoritarian,36.5,Alexander Lukashenko,President
